error_expression,description
"ERROR.*Protocol.*Error handling notification",ACP protocol session/update deserialization error — noisy but non-fatal (outstanding #3)
"Serializer for subclass.*usage_update.*not found",ACP usage_update polymorphic deserialization failure — cosmetic (outstanding #3)
"Unable to load.*MacOSDnsServerAddressStreamProvider",Netty DNS resolver native lib missing on macOS — falls back to system defaults; harmless
"Duplicate artifact key in execution",Artifact tree builder encountered duplicate key — may indicate recycled session collision or event replay
"value too long|character varying|DataIntegrityViolationException",DB column overflow — propagatedText or summaryText exceeds column width (outstanding #4/#15)
"Prompt is too long",LLM prompt token limit exceeded — usually during planning dispatch with >2 agents (outstanding #7)
"MismatchedInputException.*No content to map",Structured output retry — LLM returned empty instead of JSON routing (outstanding #46)
"DegenerateLoopException|degenerate.*loop",Degenerate loop detector fired — same action sequence repeated 6+ times
"NODE_ERROR",Node error event — agent or routing failure; check event detail for root cause
"WorktreeMergeResultDecorator.*NODE_ERROR",False NODE_ERROR from merge decorator firing on read-only discovery agents (outstanding #34)
"GOAL_COMPLETED.*FAILED|goal.*failed",Goal completed with failure status
"HttpRequestMethodNotSupportedException",Wrong HTTP method used on endpoint — usually a client-side issue (e.g. GET instead of POST)
"credit|rate.limit|rate_limit|429",API rate limiting or credit exhaustion from LLM provider
"timeout|timed.out|TimeoutException",Request or LLM call timeout
"BlackboardHistory.*loop|detectLoop",Blackboard history loop detection triggered — agent may be stuck
"NullPointerException",Java NPE — always investigate
"StackOverflowError",Stack overflow — recursive loop in routing or decorator chain
"OutOfMemoryError|Java heap space",JVM memory exhaustion — too many concurrent agents or large payloads
"phase.*violation|read.only.*write|REJECT.*discovery",Phase boundary violation — discovery/planning agent attempted file write (outstanding #17/#27/#31/#41)
"hallucin|invented|fabricat",Agent hallucination detected by propagator or controller
"No tool methods found in the provided tool objects",MCP self-server registered zero tools — ToolCarrier beans not passing hasToolMethod filter in SpringMcpConfig (outstanding #49)
"call_controller START",call_controller tool invoked — confirms ACP agent can reach topology tools via MCP
"Applying tool context.*agentType",DefaultLlmRunner tool context log — shows which tools are in the ToolContext for each LLM call
"Repository did not exist",Goal start failed — repositoryUrl path does not exist on disk (check sed/template substitution in curl payload)
"ActionRetryListener: running action retry listener",Action retry listener ran
"ActionRetryListener: recorded",Action retry listener ran - retry found in agent execution
"ActionRetryListener: no unmatched",Action retry listener ran - but did not find unmatched AgentExecutorStartEvent
"ActionRetryListener: no BlackboardHistory",Action retry listener ran - but blackboard history not found
"Resetting RESOLVED interruptibleContext",Interrupt context reset — previous interrupt cycle completed (RESOLVED); new REQUESTED context saved for fresh interrupt
"Replacing REQUESTED interruptibleContext",Duplicate interrupt publish with different ID — previous REQUESTED context replaced; investigate if two call_controller invocations raced
"publishInterruptWithContext on node.*in-progress status",Interrupt context in unexpected mid-lifecycle state (RESULT_STORED or STATUS_EMITTED) — new interrupt could not attach context; resolution may hang
"publishInterruptWithContext: origin node.*not found in graph",Origin node missing from graph when publishing interrupt — interrupt will publish but without interruptibleContext on origin
"publishInterruptWithContext: origin node.*not Interruptible",Origin node exists but doesn't implement Interruptible — interrupt will publish but context won't track on origin
"publishInterrupt: interrupt.*already pending",Duplicate publishInterrupt call for same interruptId — second publish returned existing deferred; check for double call_controller invocation
"publishInterrupt: HUMAN_REVIEW interrupt.*no ReviewNode",HUMAN_REVIEW interrupt published but interruptId doesn't map to a ReviewNode — node status won't transition to WAITING_INPUT
"resolveInterrupt: no pending interrupt found",resolveInterrupt called with unknown interruptId — already resolved or never published; controller response arrived too late or for wrong ID
"resolveInterrupt: interrupt node.*not ReviewNode or InterruptNode",Interrupt node exists but is unexpected type — node-level resolution (status→COMPLETED) skipped
"resolveInterrupt: origin node.*not found in graph",Origin node gone when resolving interrupt — InterruptStatusEvent won't emit; context won't update to RESOLVED
"resolveInterrupt: origin node.*not Interruptible",Origin node exists but isn't Interruptible — InterruptStatusEvent won't emit; investigate node type mismatch
"resolveInterrupt: origin node.*null interruptibleContext",Origin node has no interruptibleContext when resolving — RESOLVED status won't propagate; may have been cleared or never set
"awaitInterrupt: no pending interrupt for",awaitInterrupt found no pending deferred — returns CANCELLED immediately; agent unblocks with no real resolution
